Geography,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,"35,823,591","36,257,421","36,722,075","37,259,485","37,828,162","38,027,406","38,446,871","39,279,501","40,513,781","41,465,298"
Newfoundland and Labrador,"528,843","530,368","530,153","528,926","528,442","526,046","528,302","533,409","541,000","545,880"
Prince Edward Island,"144,949","147,699","150,595","153,906","157,025","159,179","163,728","169,032","175,871","179,301"
Nova Scotia,"938,914","946,623","956,074","967,578","982,592","989,154","1,006,758","1,035,163","1,064,297","1,079,676"
New Brunswick,"759,971","764,820","768,029","772,793","780,907","783,814","795,732","817,173","840,578","857,381"
Quebec,"8,190,074","8,246,383","8,326,075","8,418,646","8,521,542","8,551,865","8,603,995","8,727,339","8,918,906","9,100,249"
Ontario,"13,759,762","13,948,180","14,161,084","14,413,055","14,666,727","14,757,582","14,938,314","15,289,550","15,818,465","16,171,802"
Manitoba,"1,298,120","1,319,800","1,340,426","1,357,856","1,373,884","1,381,809","1,396,162","1,423,465","1,465,035","1,499,981"
Saskatchewan,"1,125,588","1,139,492","1,151,044","1,159,648","1,167,271","1,165,963","1,168,792","1,187,854","1,219,702","1,246,691"
Alberta,"4,163,048","4,207,139","4,253,530","4,311,439","4,376,860","4,412,013","4,449,956","4,558,643","4,744,897","4,931,601"
British Columbia,"4,795,547","4,886,638","4,962,706","5,052,131","5,148,047","5,173,896","5,267,182","5,408,601","5,593,961","5,719,594"
Yukon,"37,730","38,724","39,705","40,533","41,460","42,109","43,128","44,193","45,676","46,948"
Northwest Territories 5,"44,443","44,471","44,825","44,487","44,512","44,395","44,593","44,588","44,495","44,936"
Nunavut 5,"36,602","37,084","37,829","38,487","38,893","39,581","40,229","40,491","40,898","41,258"
